,Title,Summary,DOI,Categories,Publish Time,Authors
10,Blind proxy voting,"A secret ballot mechanism that enables voting in absence is proposed. It
amends standard vote collection methods that use ballot box as anonymizer,
adding the option for absent voters to vote by a proxy blinded to the content
of the ballot paper. Votes are cast under unique and hidden identification
numbers generated solely for the purpose of that election. Voters prepare their
ballot papers from scratch and submit them to the tallying authority in two
parts via separate routes, each part being meaningless without the other.",1812.11128v1,['cs.CR'],2018-12-28 17:41:13+00:00,[arxiv.Result.Author('Zuzana Haniková')]
11,Limiting Risk by Turning Manifest Phantoms into Evil Zombies,"Drawing a random sample of ballots to conduct a risk-limiting audit generally
requires knowing how the ballots cast in an election are organized into groups,
for instance, how many containers of ballots there are in all and how many
ballots are in each container. A list of the ballot group identifiers along
with number of ballots in each group is called a ballot manifest. What if the
ballot manifest is not accurate? Surprisingly, even if ballots are known to be
missing from the manifest, it is not necessary to make worst-case assumptions
about those ballots--for instance, to adjust the margin by the number of
missing ballots--to ensure that the audit remains conservative. Rather, it
suffices to make worst-case assumptions about the individual randomly selected
ballots that the audit cannot find. This observation provides a simple
modification to some risk-limiting audit procedures that makes them
automatically become more conservative if the ballot manifest has errors. The
modification--phantoms to evil zombies (~2EZ)--requires only an upper bound on
the total number of ballots cast. ~2EZ makes the audit P-value stochastically
larger than it would be had the manifest been accurate, automatically requiring
more than enough ballots to be audited to offset the manifest errors. This
ensures that the true risk limit remains smaller than the nominal risk limit.
On the other hand, if the manifest is in fact accurate and the upper bound on
the total number of ballots equals the total according to the manifest, ~2EZ
has no effect at all on the number of ballots audited nor on the true risk
limit.",1207.3413v1,['stat.AP'],2012-07-14 11:26:02+00:00,"[arxiv.Result.Author('Jorge H. Banuelos'), arxiv.Result.Author('Philip B. Stark')]"
12,A Complete Enumeration of Ballot Permutations Avoiding Sets of Small Patterns,"Permutations whose prefixes contain at least as many ascents as descents are
called ballot permutations. Lin, Wang, and Zhao have previously enumerated
ballot permutations avoiding small patterns and have proposed the problem of
enumerating ballot permutations avoiding a pair of permutations of length $3$.
We completely enumerate ballot permutations avoiding two patterns of length $3$
and we relate these avoidance classes with their respective recurrence
relations and formulas, which leads to an interesting bijection between ballot
permutations avoiding $132$ and $312$ with left factors of Dyck paths. In
addition, we also conclude the Wilf-classification of ballot permutations
avoiding sets of two patterns of length $3$, and we then extend our results to
completely enumerate ballot permutations avoiding three patterns of length $3$.",2209.06087v1,"['math.CO', '05A05']",2022-09-13 15:37:45+00:00,[arxiv.Result.Author('Nathan Sun')]
13,Can Voters Detect Errors on Their Printed Ballots? Absolutely,"There is still debate on whether voters can detect malicious changes in their
printed ballot after making their selections on a Ballot Marking Device (BMD).
In this study, we altered votes on a voter's ballot after they had made their
selections on a BMD. We then required them to examine their ballots for any
changes from the slate they used to vote. Overall accuracy was exceptionally
high. Participants saw 1440 total contests, and of those 1440, there were a
total of 4 errors, so total accuracy was 99.8%. Participants were able to
perform with near-perfect accuracy regardless of ballot length, ballot type,
number of altered races, and location of altered races. Detection performance
was extremely robust. We conclude that with proper direction and resources,
voters can be near-perfect detectors of ballot changes on printed paper ballots
after voting with a BMD. This finding has significant implications for the
voting community as BMD use continues to grow. Research should now focus on
identifying administrative and behavioral methods that will prompt and
encourage voters to check their BMD-generated ballots before they drop them in
the ballot box.",2204.09780v1,"['cs.HC', 'cs.CR', 'H.1.2; J.4']",2022-04-20 20:40:32+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Chidera O. Azubike'), arxiv.Result.Author('Laura E. Roty')]"
14,Ballot tilings and increasing trees,"We study enumerations of Dyck and ballot tilings, which are tilings of a
region determined by two Dyck or ballot paths. We give bijective proofs to two
formulae of enumerations of Dyck tilings through Hermite histories. We show
that one of the formulae is equal to a certain Kazhdan--Lusztig polynomial. For
a ballot tiling, we establish formulae which are analogues of formulae for Dyck
tilings. Especially, the generating functions have factorized expressions. The
key tool is a planted plane tree and its increasing labellings. We also
introduce a generalized perfect matching which is bijective to an Hermite
history for a ballot tiling. By combining these objects, we obtain various
expressions of a generating function of ballot tilings with a fixed lower path.",1705.06434v1,"['math-ph', 'math.CO', 'math.MP']",2017-05-18 06:46:09+00:00,[arxiv.Result.Author('Keiichi Shigechi')]
15,Sophisticated Attacks on Decoy Ballots: The Devil's Menu and the Market for Lemons,"Decoy ballots do not count in election outcomes, but otherwise they are
indistinguishable from real ballots. By means of a game-theoretical model, we
show that decoy ballots may not provide effective protection against a
malevolent adversary trying to buy real ballots. If the citizenry is divided
into subgroups (or districts), the adversary can construct a so-called ""Devil's
Menu"" consisting of several prices. In equilibrium, the adversary can buy the
real ballots of any strict subset of districts at a price corresponding to the
willingness to sell on the part of the citizens holding such ballots. By
contrast, decoy voters are trapped into selling their ballots at a low, or even
negligible, price. Blowing up the adversary's budget by introducing decoy
ballots may thus turn out to be futile. The Devil's Menu can also be applied to
the well-known ""Lemons Problem"".",1712.05477v1,['cs.GT'],2017-12-14 23:54:58+00:00,"[arxiv.Result.Author('Hans Gersbach'), arxiv.Result.Author('Akaki Mamageishvili'), arxiv.Result.Author('Oriol Tejada')]"
16,The ATHENA Class of Risk-Limiting Ballot Polling Audits,"The main risk-limiting ballot polling audit in use today, BRAVO, is designed
for use when single ballots are drawn at random and a decision regarding
whether to stop the audit or draw another ballot is taken after each ballot
draw (ballot-by-ballot (B2) audits). On the other hand, real ballot polling
audits draw many ballots in a single round before determining whether to stop
(round-by-round (R2) audits). We show that BRAVO results in significant
inefficiency when directly applied to real R2 audits. We present the ATHENA
class of R2 stopping rules, which we show are risk-limiting if the round
schedule is pre-determined (before the audit begins). We prove that each rule
is at least as efficient as the corresponding BRAVO stopping rule applied at
the end of the round. We have open-source software libraries implementing most
of our results.
  We show that ATHENA halves the number of ballots required, for all state
margins in the 2016 US Presidential election and a first round with $90\%$
stopping probability, when compared to BRAVO (stopping rule applied at the end
of the round). We present simulation results supporting the 90% stopping
probability claims and our claims for the risk accrued in the first round.
Further, ATHENA reduces the number of ballots by more than a quarter for low
margins, when compared to the BRAVO stopping rule applied on ballots in
selection order. This implies that keeping track of the order when drawing
ballots R2 is not beneficial, because ATHENA is more efficient even without
information on selection order. These results are significant because current
approaches to real ballot polling election audits use the B2 BRAVO rules,
requiring about twice as much work on the part of election officials. Applying
the rules in selection order requires fewer ballots, but keeping track of the
order, and entering it into audit software, adds to the effort.",2008.02315v5,"['cs.CR', 'stat.AP']",2020-08-05 18:47:37+00:00,"[arxiv.Result.Author('Filip Zagórski'), arxiv.Result.Author('Grant McClearn'), arxiv.Result.Author('Sarah Morin'), arxiv.Result.Author('Neal McBurnett'), arxiv.Result.Author('Poorvi L. Vora')]"
17,$k$-Cut: A Simple Approximately-Uniform Method for Sampling Ballots in Post-Election Audits,"We present an approximate sampling framework and discuss how risk-limiting
audits can compensate for these approximations, while maintaining their
""risk-limiting"" properties. Our framework is general and can compensate for
counting mistakes made during audits.
  Moreover, we present and analyze a simple approximate sampling
method,""$k$-cut"", for picking a ballot randomly from a stack, without counting.
Our method involves doing $k$ ""cuts"", each involving moving a random portion of
ballots from the top to the bottom of the stack, and then picking the ballot on
top. Unlike conventional methods of picking a ballot at random, $k$-cut does
not require identification numbers on the ballots or counting many ballots per
draw. We analyze how close the distribution of chosen ballots is to the uniform
distribution, and design different mitigation procedures. We show that $k=6$
cuts is enough for an risk-limiting election audit, based on empirical data,
which would provide a significant increase in efficiency.",1811.08811v3,['cs.DS'],2018-11-21 16:26:33+00:00,"[arxiv.Result.Author('Mayuri Sridhar'), arxiv.Result.Author('Ronald L. Rivest')]"
18,Bernoulli Ballot Polling: A Manifest Improvement for Risk-Limiting Audits,"We present a method and software for ballot-polling risk-limiting audits
(RLAs) based on Bernoulli sampling: ballots are included in the sample with
probability $p$, independently. Bernoulli sampling has several advantages: (1)
it does not require a ballot manifest; (2) it can be conducted independently at
different locations, rather than requiring a central authority to select the
sample from the whole population of cast ballots or requiring stratified
sampling; (3) it can start in polling places on election night, before margins
are known. If the reported margins for the 2016 U.S. Presidential election are
correct, a Bernoulli ballot-polling audit with a risk limit of 5% and a
sampling rate of $p_0 = 1\%$ would have had at least a 99% probability of
confirming the outcome in 42 states. (The other states were more likely to have
needed to examine additional ballots.) Logistical and security advantages that
auditing in the polling place affords may outweigh the cost of examining more
ballots than some other methods might require.",1812.06361v1,['stat.AP'],2018-12-15 21:57:23+00:00,"[arxiv.Result.Author('Kellie Ottoboni'), arxiv.Result.Author('Matthew Bernhard'), arxiv.Result.Author('J. Alex Halderman'), arxiv.Result.Author('Ronald L. Rivest'), arxiv.Result.Author('Philip B. Stark')]"
19,"Symmetric Dyck tilings, ballot tableaux and tree-like tableaux of shifted shapes","Symmetric Dyck tilings and ballot tilings are certain tilings in the region
surrounded by two ballot paths. We study the relations of combinatorial objects
which are bijective to symmetric Dyck tilings such as labeled trees, Hermite
histories, and perfect matchings. We also introduce two operations on labeled
trees for symmetric Dyck tilings: symmetric Dyck tiling strip (symDTS) and
symmetric Dyck tiling ribbon (symDTR). We give two definitions of Hermite
histories for symmetric Dyck tilings, and show that they are equivalent by use
of the correspondence between symDTS operation and an Hermite history. Since
ballot tilings form a subset in the set of symmetric Dyck tilings, we construct
an inclusive map from labeled trees for ballot tilings to labeled trees for
symmetric Dyck tilings. By this inclusive map, the results for symmetric Dyck
tilings can be applied to those of ballot tilings. We introduce and study the
notions of ballot tableaux and tree-like tableaux of shifted shapes, which are
generalizations of Dyck tableaux and tree-like tableaux, respectively. The
correspondence between ballot tableaux and tree-like tableaux of shifted shapes
is given by using the symDTR operation and the structure of labeled trees for
symmetric Dyck tilings.",2011.07296v1,"['math.CO', 'math-ph', 'math.MP']",2020-11-14 13:15:14+00:00,[arxiv.Result.Author('Keiichi Shigechi')]
20,Reputation-Driven Voting Dynamics,"We introduce the reputational voter model (RVM) to account for the
time-varying abilities of individuals to influence their neighbors. To
understand of the RVM, we first discuss the fitness voter model (FVM), in which
each voter has a fixed and distinct fitness. In a voting event where voter $i$
is fitter than voter $j$, only $j$ changes opinion. We show that the dynamics
of the FVM and the voter model are identical. We next discuss the adaptive
voter model (AVM), in which the influencing voter in a voting event increases
its fitness by a fixed amount. The dynamics of the AVM is non-stationary and
slowly crosses over to that of FVM because of the gradual broadening of the
fitness distribution of the population. Finally, we treat the RVM, in which the
voter $i$ is endowed with a reputational rank $r_i$ that ranges from 1 (highest
rank) to $N$ (lowest), where $N$ is the population size. In a voting event in
which voter $i$ outranks $j$, only the opinion of $j$ changes. Concomitantly,
the rank of $i$ increases, while that of $j$ does not change. The rank
distribution remains uniform on the integers $1,2,3,\ldots,N$, leading to
stationary dynamics. For equal number of voters in the two voting states with
these two subpopulations having the same average rand, the time to reach
consensus in the mean-field limit scales as $\exp(\sqrt{N})$. This long
consensus time arises because the average rank of the minority population is
typically higher than that of the majority. Thus whenever consensus is
approached, this highly ranked minority tends to drive the population away from
consensus.",1902.09371v2,"['physics.soc-ph', 'cond-mat.stat-mech']",2019-02-22 18:19:16+00:00,"[arxiv.Result.Author('D. Bhat'), arxiv.Result.Author('S. Redner')]"
21,Gerrymandering: A Briber's Perspective,"We initiate the study of bribery problem in the context of gerrymandering and
reverse gerrymandering. In our most general problem, the input is a set of
voters having votes over a set of alternatives, a graph on the voters, a
partition of voters into connected districts, cost of every voter for changing
her district, a budget for the briber, and a favorite alternative of the
briber. The briber needs to compute if the given partition can be modified so
that (i) the favorite alternative of the briber wins the resulting election,
(ii) the modification is budget feasible, and (iii) every new district is
connected. We study four natural variants of the above problem -- the graph on
voter being arbitrary vs complete graph (corresponds to removing connectedness
requirement for districts) and the cost of bribing every voter being uniform vs
non-uniform. We show that all the four problems are NP-complete even under
quite restrictive scenarios. Hence our results show that district based
elections are quite resistant under this new kind of electoral attack. We
complement our hardness results with polynomial time algorithms in some other
cases.",1909.01583v1,"['cs.GT', 'cs.DS', 'cs.MA', 'cs.SI']",2019-09-04 07:21:15+00:00,[arxiv.Result.Author('Palash Dey')]
22,Who Votes for Library Bonds? A Principal Component Exploration,"Previous research has shown a relationship between voter characteristics and
voter support for tax bonds. These findings, however, are difficult to
interpret because of the high degree of collinearity across the measures. From
13 demographic measures of voters in a library bond election, seven independent
principal components were extracted which accounted for 95 percent of the
variance. Whereas the direct demographic measures showed inconsistent
relationships with voting, the principal components of low SES, college
experience, female and service job were related to affirmative voting, while
high home value was related to negative voting.",2107.01095v1,"['physics.soc-ph', 'econ.GN', 'q-fin.EC', 'stat.AP']",2021-06-26 22:01:59+00:00,[arxiv.Result.Author('Eric Jacobson')]
23,Blind proxy voting,"A secret ballot mechanism that enables voting in absence is proposed. It
amends standard vote collection methods that use ballot box as anonymizer,
adding the option for absent voters to vote by a proxy blinded to the content
of the ballot paper. Votes are cast under unique and hidden identification
numbers generated solely for the purpose of that election. Voters prepare their
ballot papers from scratch and submit them to the tallying authority in two
parts via separate routes, each part being meaningless without the other.",1812.11128v1,['cs.CR'],2018-12-28 17:41:13+00:00,[arxiv.Result.Author('Zuzana Haniková')]
24,Incomplete ordering of the voter model on small-world networks,"We investigate how the topology of small-world networks affects the dynamics
of the voter model for opinion formation. We show that, contrary to what occurs
on regular topologies with local interactions, the voter model on small-world
networks does not display the emergence of complete order in the thermodynamic
limit. The system settles in a stationary state with coexisting opinions whose
lifetime diverges with the system size. Hence the nontrivial connectivity
pattern leads to the counterintuitive conclusion that long-range connections
inhibit the ordering process. However, for networks of finite size, for which
full uniformity is reached, the ordering process takes a time shorter than on a
regular lattice of the same size.",cond-mat/0210465v2,['cond-mat.stat-mech'],2002-10-21 16:48:45+00:00,"[arxiv.Result.Author('Claudio Castellano'), arxiv.Result.Author('Daniele Vilone'), arxiv.Result.Author('Alessandro Vespignani')]"
25,Sharp benefit-to-cost rules for the evolution of cooperation on regular graphs,"We study two of the simple rules on finite graphs under the death-birth
updating and the imitation updating discovered by Ohtsuki, Hauert, Lieberman
and Nowak [Nature 441 (2006) 502-505]. Each rule specifies a payoff-ratio
cutoff point for the magnitude of fixation probabilities of the underlying
evolutionary game between cooperators and defectors. We view the Markov chains
associated with the two updating mechanisms as voter model perturbations. Then
we present a first-order approximation for fixation probabilities of general
voter model perturbations on finite graphs subject to small perturbation in
terms of the voter model fixation probabilities. In the context of regular
graphs, we obtain algebraically explicit first-order approximations for the
fixation probabilities of cooperators distributed as certain uniform
distributions. These approximations lead to a rigorous proof that both of the
rules of Ohtsuki et al. are valid and are sharp.",1107.1513v3,['math.PR'],2011-07-07 20:28:41+00:00,[arxiv.Result.Author('Yu-Ting Chen')]
26,Fluctuation versus fixation in the one-dimensional constrained voter model,"The constrained voter model describes the dynamics of opinions in a
population of individuals located on a connected graph. Each agent is
characterized by her opinion, where the set of opinions is represented by a
finite sequence of consecutive integers, and each pair of neighbors, as defined
by the edge set of the graph, interact at a constant rate. The dynamics depends
on two parameters: the number of opinions denoted by $F$ and a so-called
confidence threshold denoted by $\theta$. If the opinion distance between two
interacting agents exceeds the confidence threshold then nothing happens,
otherwise one of the two agents mimics the other one just as in the classical
voter model. Our main result shows that the one-dimensional system starting
from any product measures with a positive density of each opinion fluctuates
and clusters if and only if $F \leq 2 \theta + 1$. Sufficient conditions for
fixation in one dimension when the initial distribution is uniform and lower
bounds for the probability of consensus for the process on finite connected
graphs are also proved.",1310.0401v1,"['math.PR', '60K35']",2013-10-01 17:30:12+00:00,"[arxiv.Result.Author('Nicolas Lanchier'), arxiv.Result.Author('Stylianos Scarlatos')]"
27,How Likely A Coalition of Voters Can Influence A Large Election?,"For centuries, it has been widely believed that the influence of a small
coalition of voters is negligible in a large election. Consequently, there is a
large body of literature on characterizing the asymptotic likelihood for an
election to be influenced, especially by the manipulation of a single voter,
establishing an $O(\frac{1}{\sqrt n})$ upper bound and an
$\Omega(\frac{1}{n^{67}})$ lower bound for many commonly studied voting rules
under the i.i.d.~uniform distribution, known as Impartial Culture (IC) in
social choice, where $n$ is the number is voters.
  In this paper, we extend previous studies in three aspects: (1) we consider a
more general and realistic semi-random model, where a distribution adversary
chooses a worst-case distribution and then a data adversary modifies up to
$\psi$ portion of the data, (2) we consider many coalitional influence
problems, including coalitional manipulation, margin of victory, and various
vote controls and bribery, and (3) we consider arbitrary and variable coalition
size $B$. Our main theorem provides asymptotically tight bounds on the
semi-random likelihood of the existence of a size-$B$ coalition that can
successfully influence the election under a wide range of voting rules.
Applications of the main theorem and its proof techniques resolve long-standing
open questions about the likelihood of coalitional manipulability under IC, by
showing that the likelihood is $\Theta\left(\min\left\{\frac{B}{\sqrt n},
1\right\}\right)$ for many commonly studied voting rules.
  The main technical contribution is a characterization of the semi-random
likelihood for a Poisson multinomial variable (PMV) to be unstable, which we
believe to be a general and useful technique with independent interest.",2202.06411v2,"['econ.TH', 'cs.AI', 'cs.GT']",2022-02-13 21:27:22+00:00,[arxiv.Result.Author('Lirong Xia')]
28,On the probability of a Condorcet winner among a large number of alternatives,"Consider $2k-1$ voters, each of which has a preference ranking between $n$
given alternatives. An alternative $A$ is called a Condorcet winner, if it wins
against every other alternative $B$ in majority voting (meaning that for every
other alternative $B$ there are at least $k$ voters who prefer $A$ over $B$).
The notion of Condorcet winners has been studied intensively for many decades,
yet some basic questions remain open. In this paper, we consider a model where
each voter chooses their ranking randomly according to some probability
distribution among all rankings. One may then ask about the probability to have
a Condorcet winner with these randomly chosen rankings (which, of course,
depends on $n$ and $k$, and the underlying probability distribution on the set
of rankings). In the case of the uniform probability distribution over all
rankings, which has received a lot of attention and is often referred to as the
setting of an ""impartial culture"", we asymptotically determine the probability
of having a Condorcet winner for a fixed number $2k-1$ of voters and $n$
alternatives with $n\to \infty$. This question has been open for around fifty
years. While some authors suggested that the impartial culture should exhibit
the lowest possible probability of having a Condorcet winner, in fact the
probability can be much smaller for other distributions. We determine, for all
values of $n$ and $k$, the smallest possible probability of having a Condorcet
winner (and give an example of a probability distribution over all rankings
which achieves this minimum possible probability).",2203.13713v1,"['econ.TH', 'math.CO']",2022-03-25 15:32:08+00:00,[arxiv.Result.Author('Lisa Sauermann')]
